Time [min],Conversion [%]
5.783,0.646950092
5.8,0.646950092
5.817,0.554528651
5.833,0.462107209
5.85,0.646950092
5.867,0.646950092
5.883,0.646950092
5.9,0.646950092
5.917,0.646950092
5.933,0.739371534
5.95,0.739371534
5.967,0.739371534
5.983,0.739371534
6,0.831792976
6.017,0.831792976
6.033,0.924214418
6.05,0.924214418
6.067,1.01663586
6.083,1.109057301
6.1,1.109057301
6.117,1.01663586
6.133,1.201478743
6.15,1.201478743
6.167,1.293900185
6.183,1.386321627
6.2,1.293900185
6.217,1.478743068
6.233,1.478743068
6.25,1.663585952
6.267,1.756007394
6.283,1.756007394
6.3,1.940850277
6.317,1.940850277
6.333,2.033271719
6.35,2.125693161
6.367,2.218114603
6.383,2.402957486
6.4,2.495378928
6.417,2.680221811
6.433,2.772643253
6.45,2.495378928
6.467,2.58780037
6.483,2.772643253
6.5,3.049907579
6.517,2.957486137
6.533,3.049907579
6.55,3.14232902
6.567,3.14232902
6.583,3.327171904
6.6,3.419593346
6.617,3.234750462
6.633,3.419593346
6.65,3.604436229
6.667,3.881700555
6.683,3.789279113
6.7,3.789279113
6.717,3.789279113
6.733,3.881700555
6.75,4.066543438
6.767,3.974121996
6.783,4.066543438
6.8,4.066543438
6.817,4.15896488
6.833,4.15896488
6.85,4.251386322
6.867,4.343807763
6.883,4.343807763
6.9,4.436229205
6.917,4.528650647
6.933,4.528650647
6.95,4.621072089
6.967,4.71349353
6.983,4.71349353
7,4.805914972
7.017,4.805914972
7.033,4.990757856
7.05,5.083179298
7.067,5.175600739
7.083,5.360443623
7.1,5.360443623
7.117,5.452865065
7.133,5.637707948
7.15,5.822550832
7.167,5.914972274
7.183,6.007393715
7.2,6.099815157
7.217,6.284658041
7.233,6.377079482
7.25,6.469500924
7.267,6.654343808
7.283,6.74676525
7.3,6.839186691
7.317,7.024029575
7.333,7.116451017
7.35,7.208872458
7.367,7.3012939
7.383,7.486136784
7.4,7.578558226
7.417,7.670979667
7.433,7.855822551
7.45,7.948243993
7.467,8.133086876
7.483,8.225508318
7.5,8.31792976
7.517,8.410351201
7.533,8.040665434
7.55,8.225508318
7.567,8.595194085
7.583,8.780036969
7.6,8.87245841
7.617,8.964879852
7.633,9.057301294
7.65,9.242144177
7.667,9.242144177
7.683,9.426987061
7.7,9.426987061
7.717,9.519408503
7.733,9.704251386
7.75,9.796672828
7.767,9.88909427
7.783,9.981515712
7.8,9.981515712
7.817,10.07393715
7.833,10.25878004
7.85,10.25878004
7.867,10.44362292
7.883,10.44362292
7.9,10.6284658
7.917,10.25878004
7.933,10.44362292
7.95,10.72088725
7.967,10.90573013
7.983,10.81330869
8,10.90573013
8.017,11.09057301
8.033,11.2754159
8.05,11.2754159
8.067,11.36783734
8.083,11.46025878
8.1,11.46025878
8.117,11.64510166
8.133,11.64510166
8.15,11.73752311
8.167,11.82994455
8.183,12.01478743
8.2,12.01478743
8.217,12.10720887
8.233,12.19963031
8.25,12.29205176
8.267,12.29205176
8.283,12.47689464
8.3,12.47689464
8.317,12.56931608
8.333,12.56931608
8.35,12.66173752
8.367,12.75415896
8.383,12.93900185
8.4,12.93900185
8.417,13.03142329
8.433,13.12384473
8.45,13.21626617
8.467,13.21626617
8.483,13.40110906
8.5,13.4935305
8.517,13.58595194
8.533,13.58595194
8.55,13.95563771
8.567,13.86321627
8.583,13.86321627
8.6,13.95563771
8.617,14.04805915
8.633,14.14048059
8.65,14.04805915
8.667,13.95563771
8.683,14.32532348
8.7,14.6025878
8.717,14.51016636
8.733,14.69500924
8.75,14.78743068
8.767,14.78743068
8.783,14.97227357
8.8,15.06469501
8.817,15.06469501
8.833,15.24953789
8.85,15.34195933
8.867,15.34195933
8.883,15.52680222
8.9,15.43438078
8.917,15.61922366
8.933,15.7116451
8.95,15.80406654
8.967,15.89648799
8.983,15.89648799
9,15.98890943
