Time [min],Conversion [%]
4.983,-1.067961165
5,5.210355987
5.017,0.614886731
5.033,-0.485436893
5.05,-0.291262136
5.067,-0.485436893
5.083,-1.877022654
5.1,0.258899676
5.117,-2.750809061
5.133,-0.873786408
5.15,-0.485436893
5.167,0.420711974
5.183,0.614886731
5.2,-2.977346278
5.217,-2.977346278
5.233,-1.067961165
5.25,-1.682847896
5.267,1.618122977
5.283,1.618122977
5.3,-0.097087379
5.317,5.080906149
5.333,-2.297734628
5.35,-2.297734628
5.367,0.776699029
5.383,1.618122977
5.4,-0.873786408
5.417,-1.262135922
5.433,-1.262135922
5.45,0.614886731
5.467,0.614886731
5.483,0.258899676
5.5,-1.682847896
5.517,1.618122977
5.533,-1.067961165
5.55,-0.873786408
5.567,0.614886731
5.583,0.614886731
5.6,0.776699029
5.617,1.132686084
5.633,-1.067961165
5.65,2.427184466
5.667,-0.291262136
5.683,0.420711974
5.7,0.614886731
5.717,2.265372168
5.733,1.45631068
5.75,-4.142394822
5.767,1.294498382
5.783,-1.877022654
5.8,0.614886731
5.817,-1.067961165
5.833,-1.262135922
5.85,3.009708738
5.867,-0.097087379
5.883,-0.291262136
5.9,2.427184466
5.917,0.420711974
5.933,2.427184466
5.95,-0.129449838
5.967,0.776699029
5.983,-0.873786408
6,0.258899676
6.017,1.779935275
6.033,2.103559871
6.05,2.103559871
6.067,1.132686084
6.083,0.970873786
6.1,-1.067961165
6.117,1.941747573
6.133,3.59223301
6.15,1.779935275
6.167,2.718446602
6.183,2.427184466
6.2,2.265372168
6.217,1.45631068
6.233,3.171521036
6.25,3.883495146
6.267,3.171521036
6.283,2.103559871
6.3,2.8802589
6.317,3.754045307
6.333,2.718446602
6.35,2.265372168
6.367,4.563106796
6.383,3.59223301
6.4,3.59223301
6.417,3.171521036
6.433,3.462783172
6.45,3.59223301
6.467,3.171521036
6.483,4.433656958
6.5,4.174757282
6.517,5.825242718
6.533,3.462783172
6.55,4.433656958
6.567,4.433656958
6.583,4.433656958
6.6,2.718446602
6.617,3.883495146
6.633,3.171521036
6.65,3.754045307
6.667,5.080906149
6.683,5.598705502
6.7,6.310679612
6.717,6.181229773
6.733,5.598705502
6.75,5.469255663
6.767,5.080906149
6.783,5.954692557
6.8,5.72815534
6.817,4.692556634
6.833,5.954692557
6.85,3.624595469
6.867,4.045307443
6.883,6.44012945
6.9,2.8802589
6.917,5.210355987
6.933,5.825242718
6.95,5.598705502
6.967,5.72815534
6.983,5.825242718
7,5.954692557
7.017,4.951456311
7.033,5.954692557
7.05,6.213592233
7.067,6.44012945
7.083,6.44012945
7.1,7.1197411
7.117,6.763754045
7.133,6.181229773
7.15,5.469255663
7.167,5.72815534
7.183,5.469255663
7.2,6.181229773
7.217,7.313915858
7.233,6.763754045
7.25,7.637540453
7.267,7.766990291
7.283,6.666666667
7.3,6.44012945
7.317,7.669902913
7.333,5.825242718
7.35,8.57605178
7.367,7.1197411
7.383,6.44012945
7.4,7.540453074
7.417,7.313915858
7.433,7.1197411
7.45,8.058252427
7.467,7.313915858
7.483,8.381877023
7.5,7.443365696
7.517,6.893203883
7.533,7.961165049
7.55,7.443365696
7.567,7.087378641
7.583,7.766990291
7.6,8.770226537
7.617,7.637540453
7.633,7.766990291
7.65,8.478964401
7.667,8.478964401
7.683,8.770226537
7.7,7.637540453
7.717,8.673139159
7.733,8.478964401
7.75,11.5210356
7.767,7.540453074
7.783,7.961165049
7.8,6.990291262
7.817,9.061488673
7.833,9.449838188
7.85,8.57605178
7.867,7.961165049
7.883,8.867313916
7.9,8.867313916
7.917,8.284789644
7.933,8.770226537
7.95,9.546925566
7.967,8.964401294
7.983,8.478964401
8,8.155339806
8.017,8.381877023
8.033,9.352750809
8.05,8.867313916
8.067,8.155339806
8.083,8.867313916
8.1,8.57605178
8.117,8.867313916
8.133,8.155339806
8.15,9.644012945
8.167,9.644012945
8.183,9.352750809
8.2,8.478964401
8.217,10.61488673
8.233,9.449838188
8.25,9.644012945
8.267,10.35598706
8.283,8.478964401
8.3,11.03559871
8.317,10.25889968
8.333,9.061488673
8.35,9.352750809
8.367,10.51779935
8.383,10
8.4,9.805825243
8.417,10.25889968
8.433,10
8.45,10.1618123
8.467,10.45307443
8.483,9.902912621
8.5,8.770226537
8.517,10.1618123
8.533,10.1618123
8.55,9.708737864
8.567,11.03559871
8.583,9.805825243
8.6,10.51779935
8.617,10.87378641
8.633,10.25889968
8.65,11.3592233
8.667,10.71197411
8.683,11.197411
8.7,11.197411
8.717,11.197411
8.733,11.3592233
8.75,11.03559871
8.767,10.09708738
8.783,11.3592233
8.8,10.45307443
8.817,11.77993528
8.833,11.3592233
8.85,11.3592233
8.867,11.84466019
8.883,11.03559871
8.9,12.84789644
8.917,11.5210356
8.933,11.5210356
8.95,10.71197411
8.967,11.197411
8.983,12.68608414
9,11.197411
9.017,12.07119741
9.033,11.84466019
9.05,8.478964401
9.067,12.07119741
9.083,12.33009709
9.1,11.03559871
9.117,12.23300971
9.133,11.94174757
9.15,12.62135922
9.167,11.94174757
9.183,11.77993528
9.2,13.07443366
9.217,12.33009709
9.233,13.2038835
9.25,12.10355987
9.267,13.07443366
9.283,13.33333333
9.3,13.43042071
9.317,11.94174757
9.333,13.33333333
9.35,12.75080906
9.367,12.84789644
9.383,12.84789644
9.4,13.98058252
9.417,11.197411
9.433,13.2038835
9.45,12.62135922
9.467,13.13915858
9.483,13.85113269
9.5,13.55987055
9.517,13.75404531
9.533,14.11003236
9.55,12.97734628
9.567,13.85113269
9.583,14.2394822
9.6,14.11003236
9.617,14.43365696
9.633,13.68932039
9.65,14.49838188
9.667,14.62783172
9.683,13.85113269
9.7,14.30420712
9.717,13.55987055
9.733,14.30420712
9.75,13.55987055
9.767,14.69255663
9.783,13.98058252
9.8,14.5631068
9.817,14.5631068
9.833,14.5631068
9.85,15.40453074
9.867,14.75728155
9.883,15.40453074
9.9,15.50161812
9.917,15.4368932
9.933,16.11650485
9.95,14.82200647
9.967,15.08090615
9.983,15.7605178
10,15.14563107
10.017,15.40453074
10.033,15.50161812
10.05,15.50161812
10.067,16.05177994
10.083,15.82524272
10.1,16.21359223
10.117,15.69579288
10.133,15.7605178
10.15,15.50161812
10.167,15.7605178
10.183,15.88996764
10.2,15.27508091
10.217,15.7605178
10.233,16.73139159
10.25,16.27831715
10.267,16.18122977
10.283,18.57605178
10.3,16.63430421
10.317,16.27831715
10.333,16.47249191
10.35,16.89320388
10.367,16.7961165
10.383,17.18446602
10.4,16.9579288
10.417,17.50809061
10.433,16.50485437
10.45,17.18446602
10.467,16.7961165
10.483,16.9579288
10.5,17.70226537
10.517,17.66990291
10.533,17.86407767
10.55,17.2815534
10.567,17.70226537
10.583,17.60517799
10.6,16.89320388
10.617,17.18446602
10.633,18.02588997
10.65,17.70226537
10.667,17.66990291
10.683,17.54045307
10.7,18.18770227
10.717,17.96116505
10.733,18.02588997
10.75,18.05825243
10.767,18.70550162
10.783,18.4789644
10.8,18.57605178
10.817,18.4789644
10.833,18.15533981
10.85,19.38511327
10.867,18.70550162
10.883,18.802589
10.9,18.60841424
10.917,18.60841424
10.933,18.67313916
10.95,18.99676375
10.967,19.09385113
10.983,18.57605178
11,19.38511327
11.017,19.19093851
11.033,19.32038835
11.05,19.64401294
11.067,19.38511327
11.083,19.22330097
11.1,19.44983819
11.117,19.51456311
11.133,19.8381877
11.15,19.61165049
11.167,19.41747573
11.183,19.09385113
11.2,19.64401294
11.217,20.06472492
11.233,19.87055016
11.25,20.19417476
11.267,19.64401294
11.283,19.96763754
11.3,19.96763754
11.317,20.25889968
11.333,20.06472492
11.35,20.64724919
11.367,20.38834951
11.383,20.35598706
11.4,20.71197411
11.417,20.93851133
11.433,20.64724919
11.45,20.90614887
11.467,20.3236246
11.483,20.35598706
11.5,19.19093851
11.517,20.58252427
11.533,21.197411
11.55,21.197411
11.567,21.10032362
11.583,21.87702265
11.6,21.197411
11.617,21.10032362
11.633,21.197411
11.65,21.42394822
11.667,21.61812298
11.683,21.32686084
11.7,21.71521036
11.717,21.55339806
11.733,21.71521036
11.75,21.42394822
11.767,21.87702265
11.783,22.20064725
11.8,21.6828479
11.817,21.71521036
11.833,22.33009709
11.85,22.23300971
11.867,21.97411003
11.883,22.58899676
11.9,21.71521036
11.917,22.10355987
11.933,21.94174757
11.95,21.90938511
11.967,22.81553398
11.983,22.42718447
12,22.52427184
12.017,23.49514563
12.033,23.17152104
12.05,22.52427184
12.067,22.65372168
12.083,23.0420712
12.1,22.65372168
12.117,23.2038835
12.133,23.23624595
12.15,22.8802589
12.167,22.94498382
12.183,23.17152104
12.2,22.91262136
12.217,23.36569579
12.233,23.65695793
12.25,23.26860841
12.267,23.00970874
12.283,23.55987055
12.3,23.68932039
